source_page,region,circ_num,circonscription,inscrits,votants,taux_participation,blancs_nuls,exprimes,parti,candidat,voix,pourcentage,elu
1,,,,,,,,,INDEPENDANT,KOTO EHOU SOPIE,547,4.0,False
1,,,,,,,,,RHDP,KOFFI AKA CHARLES,9078,66.35,True
1,,,,,,,,,INDEPENDANT,YEPIE KOUASSI THEODORE,58,0.42,False
1,AGNEBY-TIASSA,001,"LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS-",52106.0,14070.0,27.0,388.0,13682.0,ADCI,EDI DOFFOU PAUL,331,2.42,False
1,AGNEBY-TIASSA,001,"LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS-",52106.0,14070.0,27.0,388.0,13682.0,FPI,N'GUESSAN KOTCHI REMI,474,3.46,False
1,AGNEBY-TIASSA,001,"LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS-",52106.0,14070.0,27.0,388.0,13682.0,MGC,NANDO YAVO SERGE,453,3.31,False
1,AGNEBY-TIASSA,001,"LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS-",52106.0,14070.0,27.0,388.0,13682.0,ADCI,OCHOU WROHOUM MARIE-PASCALE,296,2.37,False
1,AGNEBY-TIASSA,001,"LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS-",52106.0,14070.0,27.0,388.0,13682.0,RHDP,DIMBA N'GOU PIERRE,10675,85.37,True
1,AGNEBY-TIASSA,001,"LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS-",52106.0,14070.0,27.0,388.0,13682.0,INDEPENDANT,OCHO KOKOU BERTRAND,20,0.16,False
1,AGNEBY-TIASSA,002,AGBOVILLE COMMUNE,48710.0,12821.0,26.32,317.0,12504.0,INDEPENDANT,TETCHI EHOUE ANTOINE,75,0.6,False
1,AGNEBY-TIASSA,002,AGBOVILLE COMMUNE,48710.0,12821.0,26.32,317.0,12504.0,INDEPENDANT,N'GOU KOKOLA GRACIASSE,30,0.24,False
1,AGNEBY-TIASSA,002,AGBOVILLE COMMUNE,48710.0,12821.0,26.32,317.0,12504.0,PDCI-RDA,OHOUNA N'TAKPE NICAISE,1327,10.61,False
1,AGNEBY-TIASSA,003,AZAGUIE COMMUNE ET SOUS-PREFECTURE,15515.0,5174.0,33.35,73.0,5101.0,INDEPENDANT,ADJA OWO GILLES ROGER,96,1.88,False
1,AGNEBY-TIASSA,003,AZAGUIE COMMUNE ET SOUS-PREFECTURE,15515.0,5174.0,33.35,73.0,5101.0,RHDP,ALAIN EKISSI,1673,32.8,True
1,AGNEBY-TIASSA,003,AZAGUIE COMMUNE ET SOUS-PREFECTURE,15515.0,5174.0,33.35,73.0,5101.0,INDEPENDANT,BAMBA IDRISSA,256,5.02,False
1,AGNEBY-TIASSA,003,AZAGUIE COMMUNE ET SOUS-PREFECTURE,15515.0,5174.0,33.35,73.0,5101.0,PDCI-RDA,EKISSI HUBERSON EVARISTHO ALVARIS,163,3.2,False
